cadence,power,resistance,speed
68.0,40.0,29.0,10.8
70.0,41.0,29.0,10.9
69.0,43.0,29.0,11.1
71.0,43.0,29.0,11.2
72.0,44.0,29.0,11.3
73.0,45.0,29.0,11.4
73.0,45.0,29.0,11.5
74.0,46.0,29.0,11.6
74.0,47.0,29.0,11.7
76.0,48.0,29.0,11.8
77.0,49.0,29.0,11.9
80.0,51.0,29.0,12.1
80.0,52.0,29.0,12.3
84.0,57.0,29.0,12.7
83.0,56.0,29.0,12.6
85.0,58.0,29.0,12.8
82.0,54.0,29.0,12.5
78.0,50.0,29.0,12.0
79.0,53.0,29.0,12.4
80.0,53.0,29.0,12.3
79.0,51.0,29.0,12.2
82.0,54.0,29.0,12.4
86.0,59.0,29.0,12.9
82.0,55.0,29.0,12.5
78.0,64.0,32.0,13.4
81.0,71.0,33.0,14.0
83.0,72.0,33.0,14.1
84.0,75.0,33.0,14.4
83.0,74.0,33.0,14.3
83.0,72.0,33.0,14.2
85.0,76.0,33.0,14.5
84.0,78.0,33.0,14.6
86.0,77.0,33.0,14.5
82.0,73.0,33.0,14.2
80.0,69.0,33.0,13.9
90.0,83.0,33.0,15.0
97.0,94.0,33.0,15.8
99.0,97.0,33.0,16.0
101.0,100.0,33.0,16.3
99.0,98.0,33.0,16.1
99.0,96.0,33.0,16.0
96.0,95.0,33.0,15.9
91.0,81.0,33.0,14.9
89.0,80.0,33.0,14.8
92.0,86.0,33.0,15.2
93.0,87.0,33.0,15.3
92.0,84.0,33.0,15.1
93.0,90.0,33.0,15.6
111.0,117.0,33.0,17.3
115.0,122.0,33.0,17.6
118.0,130.0,33.0,18.1
108.0,112.0,33.0,17.0
105.0,108.0,33.0,16.8
112.0,115.0,33.0,17.2
113.0,121.0,33.0,17.5
112.0,119.0,33.0,17.4
110.0,114.0,33.0,17.1
105.0,103.0,33.0,16.5
102.0,102.0,33.0,16.4
97.0,92.0,33.0,15.7
93.0,89.0,33.0,15.5
89.0,79.0,33.0,14.7
104.0,107.0,33.0,16.7
112.0,124.0,34.0,17.7
111.0,129.0,34.0,18.0
95.0,100.0,34.0,16.2
91.0,91.0,34.0,15.7
91.0,93.0,34.0,15.8
89.0,90.0,34.0,15.5
88.0,88.0,34.0,15.4
88.0,86.0,34.0,15.3
76.0,68.0,34.0,13.8
71.0,61.0,34.0,13.1
60.0,46.0,34.0,11.5
73.0,67.0,34.0,13.7
119.0,162.0,36.0,19.7
115.0,157.0,36.0,19.5
114.0,152.0,36.0,19.3
110.0,148.0,36.0,19.0
109.0,141.0,36.0,18.7
110.0,146.0,36.0,18.9
112.0,154.0,36.0,19.3
115.0,159.0,36.0,19.6
118.0,164.0,36.0,19.8
112.0,152.0,36.0,19.2
108.0,141.0,36.0,18.6
106.0,136.0,36.0,18.4
105.0,137.0,36.0,18.5
115.0,156.0,36.0,19.4
112.0,150.0,36.0,19.1
100.0,128.0,36.0,17.9
96.0,110.0,36.0,16.9
84.0,93.0,36.0,15.7
81.0,91.0,36.0,15.6
124.0,177.0,36.0,20.4
121.0,171.0,36.0,20.1
120.0,170.0,36.0,20.1
118.0,163.0,36.0,19.8
118.0,166.0,36.0,19.9
117.0,161.0,36.0,19.7
119.0,165.0,36.0,19.9
103.0,143.0,36.0,18.8
72.0,70.0,36.0,14.0
71.0,65.0,36.0,13.6
67.0,62.0,36.0,13.3
62.0,57.0,36.0,12.8
60.0,52.0,36.0,12.2
112.0,155.0,37.0,19.4
120.0,179.0,37.0,20.5
119.0,172.0,37.0,20.2
113.0,160.0,37.0,19.6
116.0,167.0,37.0,19.9
117.0,169.0,37.0,20.1
114.0,161.0,37.0,19.6
111.0,153.0,37.0,19.3
98.0,134.0,37.0,18.3
51.0,44.0,37.0,11.2
49.0,35.0,37.0,10.1
54.0,42.0,37.0,11.0
92.0,128.0,37.0,18.0
119.0,174.0,37.0,20.3
99.0,137.0,37.0,18.4
94.0,119.0,37.0,17.5
67.0,65.0,37.0,13.5
42.0,29.0,37.0,9.2
41.0,28.0,37.0,8.9
36.0,25.0,37.0,8.3
34.0,20.0,37.0,7.4
44.0,32.0,37.0,9.6
65.0,62.0,37.0,13.2
69.0,69.0,37.0,13.8
79.0,121.0,41.0,17.6
82.0,135.0,43.0,18.3
82.0,133.0,43.0,18.2
79.0,127.0,43.0,17.9
83.0,135.0,43.0,18.4
83.0,138.0,43.0,18.5
80.0,131.0,43.0,18.1
84.0,144.0,43.0,18.8
81.0,145.0,44.0,18.9
86.0,167.0,45.0,20.0
86.0,168.0,45.0,20.0
86.0,158.0,44.0,19.5
62.0,60.0,38.0,13.0
74.0,77.0,37.0,14.6
70.0,71.0,37.0,14.1
76.0,82.0,37.0,15.0
76.0,81.0,37.0,14.8
77.0,85.0,37.0,15.2
82.0,99.0,37.0,16.2
83.0,101.0,37.0,16.3
85.0,103.0,37.0,16.4
79.0,158.0,47.0,19.6
75.0,154.0,48.0,19.4
74.0,151.0,48.0,19.2
76.0,147.0,48.0,19.0
80.0,173.0,48.0,20.2
72.0,140.0,48.0,18.6
82.0,175.0,47.0,20.3
82.0,169.0,47.0,20.0
84.0,178.0,47.0,20.4
82.0,176.0,47.0,20.4
65.0,126.0,47.0,17.8
67.0,123.0,47.0,17.7
71.0,132.0,47.0,18.2
78.0,149.0,47.0,19.1
80.0,139.0,44.0,18.6
81.0,142.0,44.0,18.7
77.0,124.0,44.0,17.8
78.0,133.0,44.0,18.3
50.0,120.0,58.0,17.5
57.0,207.0,58.0,21.7
58.0,181.0,58.0,20.6
69.0,163.0,52.0,19.7
50.0,118.0,58.0,17.4
54.0,113.0,58.0,17.1
52.0,183.0,58.0,20.7
68.0,111.0,43.0,17.0
69.0,117.0,46.0,17.4
70.0,114.0,46.0,17.2
72.0,139.0,46.0,18.5
48.0,125.0,62.0,17.8
51.0,111.0,62.0,16.9
43.0,106.0,62.0,16.6
48.0,165.0,58.0,19.8
76.0,186.0,50.0,20.8
53.0,104.0,52.0,16.5
51.0,190.0,59.0,21.0
63.0,191.0,59.0,21.0
67.0,129.0,49.0,18.1
82.0,185.0,49.0,20.8
56.0,116.0,59.0,17.3
53.0,116.0,55.0,17.2
74.0,109.0,43.0,16.8
85.0,173.0,46.0,20.3
80.0,148.0,46.0,19.1
77.0,180.0,50.0,20.5
80.0,144.0,46.0,18.9
73.0,56.0,32.0,12.7
78.0,61.0,32.0,13.2
92.0,82.0,32.0,14.9
94.0,83.0,32.0,15.1
97.0,96.0,33.0,15.9
99.0,97.0,33.0,16.1
96.0,105.0,35.0,16.6
95.0,109.0,36.0,16.9
67.0,64.0,37.0,13.5
75.0,78.0,37.0,14.7
39.0,25.0,37.0,8.5
33.0,19.0,37.0,7.2
25.0,11.0,37.0,5.0
44.0,30.0,37.0,9.3
47.0,36.0,37.0,10.2
65.0,63.0,37.0,13.3
70.0,70.0,37.0,13.9
70.0,66.0,37.0,13.6
95.0,126.0,38.0,17.9
90.0,196.0,46.0,21.2
91.0,194.0,46.0,21.1
91.0,197.0,46.0,21.3
91.0,201.0,46.0,21.4
89.0,192.0,46.0,21.1
92.0,189.0,46.0,20.9
93.0,199.0,46.0,21.4
89.0,182.0,46.0,20.6
89.0,203.0,48.0,21.5
89.0,209.0,48.0,21.8
89.0,205.0,48.0,21.6
88.0,219.0,50.0,22.2
87.0,220.0,50.0,22.2
86.0,212.0,50.0,21.9
88.0,216.0,50.0,22.0
89.0,225.0,50.0,22.4
89.0,222.0,50.0,22.3
86.0,213.0,50.0,21.9
89.0,218.0,50.0,22.1
87.0,226.0,50.0,22.4
82.0,187.0,50.0,20.8
82.0,195.0,50.0,21.2
26.0,24.0,50.0,8.2
22.0,17.0,50.0,6.7
11.0,4.0,50.0,2.2
17.0,14.0,50.0,5.9
54.0,37.0,33.0,10.3
77.0,63.0,33.0,13.4
72.0,58.0,33.0,12.9
74.0,59.0,33.0,13.0
59.0,199.0,59.0,21.3
55.0,188.0,59.0,20.9
78.0,108.0,40.0,16.7
75.0,185.0,53.0,20.7
76.0,198.0,53.0,21.3
79.0,184.0,50.0,20.7
66.0,208.0,59.0,21.7
45.0,47.0,49.0,11.6
26.0,27.0,49.0,8.7
21.0,15.0,49.0,6.2
11.0,3.0,49.0,1.8
5.0,1.0,49.0,0.7
4.0,1.0,49.0,0.3
20.0,14.0,49.0,5.8
67.0,131.0,49.0,18.2
52.0,106.0,54.0,16.7
71.0,194.0,54.0,21.2
75.0,210.0,54.0,21.8
75.0,215.0,54.0,22.0
75.0,209.0,54.0,21.7
76.0,206.0,54.0,21.6
76.0,223.0,54.0,22.3
78.0,204.0,54.0,21.5
79.0,230.0,54.0,22.6
74.0,217.0,55.0,22.1
61.0,207.0,58.0,21.6
72.0,228.0,58.0,22.5
66.0,193.0,58.0,21.1
28.0,22.0,52.0,7.8
31.0,18.0,38.0,6.9
28.0,12.0,33.0,5.2
24.0,9.0,33.0,4.1
18.0,5.0,33.0,2.5
23.0,8.0,33.0,3.8
34.0,16.0,33.0,6.5
43.0,25.0,33.0,8.4
52.0,33.0,33.0,9.8
58.0,39.0,33.0,10.7
65.0,48.0,33.0,11.7
66.0,49.0,32.0,11.8
62.0,41.0,33.0,10.8
69.0,55.0,33.0,12.6
75.0,60.0,32.0,13.1
84.0,76.0,33.0,14.4
72.0,142.0,48.0,18.8
76.0,190.0,51.0,20.9
78.0,202.0,51.0,21.5
74.0,178.0,51.0,20.5
25.0,23.0,51.0,8.1
52.0,222.0,64.0,22.2
58.0,204.0,65.0,21.6
64.0,241.0,64.0,22.9
64.0,187.0,56.0,20.9
83.0,219.0,52.0,22.1
80.0,214.0,52.0,22.0
49.0,236.0,65.0,22.8
80.0,233.0,55.0,22.7
22.0,26.0,55.0,8.7
13.0,7.0,55.0,3.3
10.0,5.0,55.0,2.4
27.0,33.0,55.0,9.7
17.0,6.0,43.0,3.0
24.0,9.0,35.0,4.3
24.0,7.0,34.0,3.5
23.0,8.0,34.0,4.1
28.0,12.0,34.0,5.4
27.0,11.0,34.0,4.9
44.0,27.0,34.0,8.8
16.0,13.0,58.0,5.7
17.0,15.0,58.0,6.1
24.0,21.0,51.0,7.6
67.0,192.0,55.0,21.0
56.0,243.0,63.0,23.0
26.0,31.0,55.0,9.5
10.0,6.0,56.0,2.9
9.0,4.0,55.0,2.0
25.0,50.0,56.0,11.9
21.0,20.0,56.0,7.5
21.0,22.0,55.0,7.9
60.0,180.0,60.0,20.6
67.0,176.0,57.0,20.3
24.0,28.0,57.0,9.0
73.0,221.0,57.0,22.2
70.0,211.0,57.0,21.8
72.0,214.0,57.0,21.9
76.0,237.0,57.0,22.8
75.0,232.0,57.0,22.6
24.0,13.0,37.0,5.5
32.0,16.0,34.0,6.4
49.0,32.0,34.0,9.7
103.0,87.0,30.0,15.4
93.0,89.0,33.0,15.4
91.0,85.0,33.0,15.1
106.0,112.0,33.0,17.1
77.0,99.0,42.0,16.1
89.0,94.0,35.0,15.9
122.0,183.0,37.0,20.6
71.0,246.0,55.0,23.1
34.0,37.0,48.0,10.4
23.0,18.0,48.0,6.8
79.0,45.0,27.0,11.3
74.0,39.0,27.0,10.6
0.0,0.0,30.0,0.0
48.0,19.0,30.0,7.3
13.0,3.0,30.0,1.6
5.0,0.0,30.0,0.2
3.0,0.0,30.0,0.1
14.0,3.0,30.0,1.4
14.0,2.0,30.0,1.2
11.0,2.0,30.0,0.8
9.0,1.0,30.0,0.6
7.0,1.0,30.0,0.5
58.0,35.0,30.0,10.0
64.0,40.0,30.0,10.7
62.0,38.0,30.0,10.4
28.0,8.0,30.0,3.7
20.0,5.0,30.0,2.7
53.0,29.0,30.0,9.1
58.0,34.0,30.0,9.9
44.0,22.0,30.0,7.7
40.0,19.0,30.0,7.1
34.0,14.0,30.0,6.0
18.0,10.0,30.0,4.5
12.0,2.0,30.0,1.0
49.0,26.0,30.0,8.5
28.0,10.0,30.0,4.8
63.0,38.0,30.0,10.5
37.0,16.0,30.0,6.6
34.0,8.0,30.0,4.0
26.0,6.0,30.0,3.2
51.0,26.0,30.0,8.6
32.0,12.0,30.0,5.3
61.0,36.0,30.0,10.3
66.0,41.0,30.0,11.0
45.0,21.0,30.0,7.5
32.0,24.0,47.0,8.3
10.0,4.0,47.0,2.3
31.0,8.0,47.0,3.9
36.0,42.0,47.0,11.1
37.0,38.0,47.0,10.6
34.0,30.0,47.0,9.2
9.0,4.0,58.0,1.9
24.0,34.0,61.0,10.0
20.0,24.0,61.0,8.1
32.0,31.0,48.0,9.4
14.0,5.0,48.0,2.8
8.0,2.0,48.0,1.1
19.0,9.0,48.0,4.4
37.0,21.0,35.0,7.7
41.0,9.0,35.0,4.2
39.0,17.0,35.0,6.6
43.0,18.0,35.0,7.0
38.0,17.0,35.0,6.8
12.0,2.0,35.0,1.3
16.0,3.0,35.0,1.7
21.0,7.0,35.0,3.6
9.0,2.0,35.0,0.9
5.0,3.0,80.0,1.5
35.0,11.0,25.0,5.1
50.0,20.0,25.0,7.3
39.0,23.0,35.0,8.0
31.0,15.0,35.0,6.3
6.0,1.0,35.0,0.4
36.0,15.0,35.0,6.0
15.0,6.0,35.0,3.3
29.0,10.0,35.0,4.7
130.0,171.0,35.0,20.2
94.0,200.0,46.0,21.4
14.0,7.0,49.0,3.4
17.0,10.0,49.0,4.6
79.0,79.0,36.0,14.8
26.0,4.0,44.0,2.1
31.0,30.0,47.0,9.4
93.0,229.0,48.0,22.5
100.0,245.0,48.0,23.1
103.0,257.0,48.0,23.5
104.0,266.0,48.0,23.8
78.0,123.0,42.0,17.6
85.0,242.0,53.0,23.0
104.0,224.0,45.0,22.3
104.0,227.0,45.0,22.5
106.0,231.0,45.0,22.6
107.0,238.0,45.0,22.9
111.0,235.0,44.0,22.7
86.0,284.0,57.0,24.4
85.0,293.0,56.0,24.7
87.0,277.0,55.0,24.2
87.0,287.0,55.0,24.5
91.0,281.0,54.0,24.3
92.0,289.0,54.0,24.6
94.0,279.0,53.0,24.3
96.0,275.0,52.0,24.1
106.0,325.0,52.0,25.6
108.0,340.0,52.0,26.1
108.0,346.0,52.0,26.2
106.0,330.0,52.0,25.8
107.0,351.0,52.0,26.4
107.0,335.0,52.0,25.9
103.0,305.0,52.0,25.1
96.0,261.0,52.0,23.6
105.0,315.0,52.0,25.4
102.0,310.0,52.0,25.2
99.0,300.0,52.0,24.9
98.0,290.0,52.0,24.6
107.0,202.0,42.0,21.4
86.0,240.0,52.0,22.9
95.0,233.0,48.0,22.6
102.0,253.0,48.0,23.4
103.0,234.0,45.0,22.7
103.0,227.0,45.0,22.4
105.0,263.0,47.0,23.7
102.0,251.0,47.0,23.3
103.0,224.0,44.0,22.4
104.0,241.0,46.0,23.0
102.0,235.0,46.0,22.8
105.0,247.0,46.0,23.2
103.0,239.0,46.0,22.9
47.0,262.0,71.0,23.7
60.0,270.0,71.0,24.0
51.0,286.0,71.0,24.5
58.0,254.0,71.0,23.4
60.0,267.0,70.0,23.9
63.0,294.0,71.0,24.7
45.0,278.0,71.0,24.2
51.0,244.0,70.0,23.1
62.0,283.0,70.0,24.4
63.0,311.0,65.0,25.3
61.0,271.0,65.0,24.0
69.0,285.0,65.0,24.4
65.0,326.0,65.0,25.7
66.0,268.0,65.0,23.9
72.0,304.0,65.0,25.0
76.0,264.0,65.0,23.7
71.0,261.0,65.0,23.7
68.0,297.0,65.0,24.8
69.0,238.0,62.0,22.8
69.0,248.0,62.0,23.2
67.0,282.0,66.0,24.4
100.0,255.0,48.0,23.4
103.0,259.0,48.0,23.6
72.0,307.0,62.0,25.1
72.0,321.0,62.0,25.5
78.0,280.0,62.0,24.3
73.0,314.0,62.0,25.3
65.0,318.0,71.0,25.4
73.0,346.0,72.0,26.3
72.0,323.0,73.0,25.6
68.0,359.0,73.0,26.6
71.0,350.0,73.0,26.4
70.0,378.0,73.0,27.1
71.0,332.0,73.0,25.9
69.0,368.0,73.0,26.9
58.0,252.0,72.0,23.4
87.0,389.0,65.0,27.4
42.0,23.0,32.0,7.9
81.0,68.0,32.0,13.7
16.0,6.0,42.0,3.1
9.0,1.0,37.0,0.8
15.0,5.0,40.0,2.6
74.0,250.0,60.0,23.3
71.0,256.0,60.0,23.5
75.0,274.0,60.0,24.1
69.0,273.0,64.0,24.1
59.0,249.0,69.0,23.2
65.0,270.0,66.0,23.9
72.0,27.0,22.0,8.9
66.0,211.0,60.0,21.9
76.0,260.0,58.0,23.6
74.0,272.0,59.0,24.0
72.0,269.0,60.0,23.9
64.0,75.0,40.0,14.3
22.0,13.0,43.0,5.6
20.0,11.0,43.0,4.8
96.0,276.0,53.0,24.2
101.0,312.0,53.0,25.3
101.0,317.0,53.0,25.4
100.0,309.0,53.0,25.2
99.0,301.0,53.0,24.9
16.0,7.0,45.0,3.7
17.0,16.0,59.0,6.3
54.0,73.0,43.0,14.3
82.0,252.0,54.0,23.3
89.0,230.0,50.0,22.5
65.0,292.0,67.0,24.7
101.0,349.0,55.0,26.3
74.0,258.0,60.0,23.6
80.0,295.0,60.0,24.8
77.0,302.0,60.0,25.0
82.0,308.0,60.0,25.1
78.0,324.0,60.0,25.6
85.0,292.0,60.0,24.6
81.0,273.0,60.0,24.0
76.0,311.0,60.0,25.2
75.0,264.0,60.0,23.8
91.0,265.0,52.0,23.8
75.0,291.0,59.0,24.6
73.0,313.0,62.0,25.3
72.0,322.0,63.0,25.6
72.0,329.0,63.0,25.8
75.0,344.0,63.0,26.2
78.0,358.0,63.0,26.6
73.0,333.0,63.0,25.9
72.0,319.0,63.0,25.5
84.0,298.0,58.0,24.9
55.0,328.0,73.0,25.8
64.0,382.0,73.0,27.2
72.0,400.0,73.0,27.7
68.0,391.0,73.0,27.4
65.0,419.0,73.0,28.2
69.0,335.0,73.0,26.0
69.0,372.0,73.0,27.0
88.0,288.0,56.0,24.5
95.0,416.0,57.0,28.1
96.0,457.0,65.0,29.1
89.0,424.0,65.0,28.3
87.0,449.0,65.0,28.9
90.0,441.0,65.0,28.7
89.0,465.0,65.0,29.2
91.0,433.0,65.0,28.5
89.0,408.0,65.0,27.9
86.0,392.0,65.0,27.5
77.0,399.0,68.0,27.6
80.0,474.0,73.0,29.4
73.0,396.0,73.0,27.6
77.0,434.0,73.0,28.5
89.0,391.0,61.0,27.5
89.0,453.0,65.0,29.0
84.0,413.0,65.0,28.0
84.0,421.0,65.0,28.2
85.0,354.0,65.0,26.5
78.0,377.0,65.0,27.1
80.0,374.0,65.0,27.0
75.0,316.0,65.0,25.4
85.0,347.0,60.0,26.3
84.0,331.0,61.0,25.8
82.0,327.0,61.0,25.7
85.0,341.0,61.0,26.1
85.0,362.0,61.0,26.7
86.0,355.0,61.0,26.5
85.0,348.0,61.0,26.3
89.0,369.0,61.0,26.9
89.0,390.0,61.0,27.4
88.0,361.0,61.0,26.7
87.0,334.0,61.0,25.9
83.0,337.0,61.0,26.0
